car_id,car_type,slow_관측기간_개월,slow_degradation_rate_3,slow_degradation_rate_3_per_month,fast_관측기간_개월,fast_degradation_rate_3,fast_degradation_rate_3_per_month
M2211120390,GV60,3.6666666666666665,-11.486280583167554,-3.132621977227515,,,
M2211121225,GV60,1.6333333333333333,6.451314520700607,3.949784400428943,,,
M2211121953,GV60,3.033333333333333,-12.57657639709616,-4.146124086954778,0.0,0.0,
M2211122774,GV60,0.8333333333333334,1.1667724964435573,1.4001269957322686,0.0,0.0,
M2211122911,GV60,5.533333333333333,3.862269135020005,0.6980004460879528,5.1,-14.12034666120772,-2.7686954237662196
M2220343146,GV60,3.466666666666667,-3.963170492668228,-1.1432222575004505,0.0,-10.703689261710178,
M2220343870,GV60,0.0,0.0,,,,
M2220344138,GV60,1.9333333333333333,-1.8468609501169988,-0.9552729052329304,2.1,-2.8715145819475185,-1.367387896165485
M2220344260,GV60,4.333333333333333,13.355350864798426,3.082004045722714,0.9333333333333333,-23.281881005538168,-24.944872505933752
M2220878266,GV60,3.533333333333333,-10.67362864052724,-3.0208382944888412,0.0,0.0,
